raw_text,link,page_found,scrape_timestamp,price,size,rooms,district,has_balkon,has_terrasse,is_neubau,is_furnished,has_outdoor,floor,is_temporary,price_per_m2,snapshot_date,fingerprint
"Helle 2-Zimmer Neubauwohnung mit Balkon Nähe Mariahilferstraße | 1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus, Arnsteingasse | 39 m² | 2 Zimmer | Balkon | ASW Immobilien Service & Consulting GmbH | € 799",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/helle-2-zimmer-neubauwohnung-mit-balkon-naehe-mariahilferstrasse-1027597197/,5,2026-01-13T10:50:47.991780,799.0,39.0,2.0,1150.0,,,1,0,1,,,20.487179487179485,2026-01-13,807ba3623a
"Top-sanierte Altbau-Designerwohnung im 5. Bezirk - voll möbliert | 1050 Wien, 05. Bezirk, Margareten, Zentagasse | 32 m² | 1 Zimmer | Privat | € 1.100",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/top-sanierte-altbau-designerwohnung-im-5-bezirk-voll-moebliert-1229288122/,5,2026-01-13T10:50:47.855512,1100.0,32.0,1.0,1050.0,,,0,1,0,,,34.375,2026-01-13,36e23f8f14
"Exklusives Penthouse-Büro mit traumhaftem Panoramaausblick - Top Lage - UNO-City - Alte Donau | 1220 Wien, 22. Bezirk, Donaustadt | 210 m² | 6 Zimmer | Terrasse, Balkon | SAQURA Immobilien GmbH | € 4.765,66",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/exklusives-penthouse-buero-mit-traumhaftem-panoramaausblick-top-lage-uno-city-alte-donau-1650508929/,5,2026-01-13T10:50:48.150948,4765.66,210.0,6.0,1220.0,,,0,0,1,,,22.69361904761905,2026-01-13,22ae069303
"Gemütliches Heim für ZWEI im GRÜNEN | 1110 Wien, 11. Bezirk, Simmering | 62 m² | 2 Zimmer | Balkon, Garten | RED Real Estates Development Bauträger und Immobilien GmbH | € 813,64",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/gemuetliches-heim-fuer-zwei-im-gruenen-2115838941/,7,2026-01-13T10:51:03.949762,813.64,62.0,2.0,1110.0,,,0,0,1,,,13.123225806451613,2026-01-13,9bbb14ad6b
"Charmantes Domizil mit Balkon und Terrasse - Ihre neue Wohlfühloase im Grünen. | 1130 Wien, 13. Bezirk, Hietzing | 86 m² | 3 Zimmer | Terrasse, Balkon | ANOBIS IMMOBILIEN GmbH | € 1.789",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/charmantes-domizil-mit-balkon-und-terrasse-ihre-neue-wohlfuehloase-im-gruenen-1397415116/,7,2026-01-13T10:51:03.982293,1789.0,86.0,3.0,1130.0,,,0,0,1,,,20.802325581395348,2026-01-13,781a74216f
"Neubauprojekt ""Herz & Heim"" in Simmering - 1 Zimmer-Wohnung mit Loggia - zu Mieten in 1110 Wien | 1110 Wien, 11. Bezirk, Simmering | 30 m² | 1 Zimmer | Loggia | ÖRAG Immobilien Vermittlung GmbH | € 719,01",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/neubauprojekt-herz-heim-in-simmering-1-zimmer-wohnung-mit-loggia-zu-mieten-in-1110-wien-1063414000/,9,2026-01-12T22:55:42.856561,719.01,30.0,1.0,1110.0,0.0,0.0,1,0,1,,0.0,23.967,2026-01-13,
"Blueground ID492, Leopoldstadt | 1020 Wien, 02. Bezirk, Leopoldstadt, Meiereistraße 14 | 49 m² | 2 Zimmer | Balkon | Blueground Austria GmbH | € 1.635",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1020-leopoldstadt/blueground-id492-leopoldstadt-1300865951/,10,2026-01-13T10:51:26.589409,1635.0,49.0,2.0,1020.0,,,0,0,1,,,33.36734693877551,2026-01-13,2d141a083e
"room4rent - Ihr Zuhause auf Zeit | Leopoldtower_LARGE | 1210 Wien, 21. Bezirk, Floridsdorf, Seyringer Straße 5 | 45 m² | 1 Zimmer | Balkon | room4rent | € 1.379",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/room4rent-ihr-zuhause-auf-zeit-leopoldtower-large-1355320769/,6,2026-01-13T10:50:55.798873,1379.0,45.0,1.0,1210.0,,,0,0,1,,,30.64444444444445,2026-01-13,dd59c9d0c5
"3 Zimmer Wohnung in 1040 Wien | 1040 Wien, 04. Bezirk, Wieden | 79 m² | 3 Zimmer | 3fach Immobilien OG | € 1.155,74",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/3-zimmer-wohnung-in-1040-wien-812678756/,6,2026-01-13T10:50:55.937122,1155.74,79.0,3.0,1040.0,,,0,0,0,,,14.629620253164555,2026-01-13,f63667ae50
"EINZIGARTIGE ALTBAUWOHUNG IM LOFT STIL - LICHTDURCHFLUTET - BALKON - EXKLUSIVE LAGE IM 7. WIENER GEMEINDEBEZIRK -INNENHOFLAGE - BARRIEREFREI MITTELS LIFT | 1070 Wien, 07. Bezirk, Neubau | 131 m² | 3 Zimmer | Balkon | Neutor Real GmbH | € 2.350",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/einzigartige-altbauwohung-im-loft-stil-lichtdurchflutet-balkon-exklusive-lage-im-7-wiener-gemeindebezirk-innenhoflage-barrierefrei-mittels-lift-2073284300/,6,2026-01-13T10:50:55.908991,2350.0,131.0,3.0,1070.0,,,1,0,1,,,17.938931297709924,2026-01-13,54190fc798
